file,size_kb,status
nice-girl-with-5-husbands.md,25.2,todo
the-64-square-madhouse.md,30.8,todo
a-bad-day-for-sales.md,13.2,todo
a-hitch-in-space.md,19.9,todo
a-pail-of-air.md,30.0,todo
appointment-in-tomorrow.md,57.1,todo
bread-overhead.md,30.7,todo
bullet-with-his-name.md,68.0,todo
coming-attraction.md,27.5,todo
dr-kometevsky-s-day.md,39.4,todo
friends-and-enemies.md,36.2,todo
kreativity-for-kats.md,18.9,todo
later-than-you-think.md,15.0,todo
no-great-magic.md,19.4,todo
pipe-dream.md,29.9,todo
the-big-engine.md,9.2,todo
the-creature-from-cleveland-depths.md,10.0,todo
the-last-letter.md,23.6,todo
the-moon-is-green.md,33.8,todo
the-night-of-the-long-knives.md,27.8,todo
the-snowbank-orbit.md,6.4,todo
time-in-the-round.md,31.4,todo
what-s-he-doing-in-there.md,11.4,todo
x-marks-the-pedwalk.md,9.8,todo
yesterday-house.md,17.7,todo
