file,size_kb,status
01-dedication.md,0.0,todo
02-epigraph-1.md,0.1,todo
03-epigraph-2.md,0.5,todo
04-part-1-the-quarry-and-the-beach.md,0.0,todo
05-part-1-chapter-i.md,16.6,todo
06-part-1-chapter-ii.md,11.8,todo
07-part-1-chapter-iii.md,14.4,todo
08-part-1-chapter-iv.md,23.0,todo
09-part-1-chapter-v.md,16.7,todo
10-part-2-the-girl-with-the-lizard.md,0.0,todo
11-part-2-chapter-i.md,17.2,todo
12-part-2-chapter-ii.md,25.0,todo
13-part-2-chapter-iii.md,21.8,todo
14-part-2-chapter-iv.md,19.2,todo
15-part-2-chapter-v.md,12.9,todo
16-part-2-chapter-vi.md,20.0,todo
17-part-2-chapter-vii.md,16.8,todo
18-part-3-casa-riego.md,0.0,todo
19-part-3-chapter-i.md,17.4,todo
20-part-3-chapter-ii.md,28.4,todo
21-part-3-chapter-iii.md,26.2,todo
22-part-3-chapter-iv.md,36.9,todo
23-part-3-chapter-v.md,33.8,todo
24-part-3-chapter-vi.md,31.0,todo
25-part-4-blade-and-guitar.md,0.0,todo
26-part-4-chapter-i.md,22.0,todo
27-part-4-chapter-ii.md,24.2,todo
28-part-4-chapter-iii.md,28.9,todo
29-part-4-chapter-iv.md,23.4,todo
30-part-4-chapter-v.md,48.5,todo
31-part-4-chapter-vi.md,29.1,todo
32-part-4-chapter-vii.md,29.0,todo
33-part-4-chapter-viii.md,23.8,todo
34-part-4-chapter-ix.md,25.8,todo
35-part-4-chapter-x.md,53.4,todo
36-part-4-chapter-xi.md,51.0,todo
37-part-5-the-lot-of-man.md,0.0,todo
38-part-5-chapter-i.md,18.4,todo
39-part-5-chapter-ii.md,34.9,todo
40-part-5-chapter-iii.md,27.0,todo
41-part-5-chapter-iv.md,37.5,todo
42-part-5-chapter-v.md,11.3,todo
