file,size_kb,status
al-bust-n-or-the-orchard.md,43.5,todo
al-durar-or-the-pearls.md,20.3,todo
al-ful-s-al-masn-min-al-qirt-s-or-the-money-made-of-paper.md,38.5,todo
al-his-n-or-the-horse.md,24.3,todo
al-jamal-wa-l-nakhl-or-camels-and-dates.md,25.0,todo
al-kantara-or-the-bridge.md,38.3,todo
al-mahallat-al-jadida-or-the-new-quarter-of-the-city.md,45.9,todo
al-rafsat-or-the-kick.md,29.4,todo
al-tawajin-or-the-pipkins.md,23.1,todo
al-wali-or-the-holy-one.md,20.8,todo
al-wukal-or-the-lawyers.md,52.0,todo
dedication.md,0.0,todo
ghanamat-or-the-sheep.md,25.1,todo
itmi-n-n-al-nafs-or-the-peace-of-the-soul.md,23.0,todo
milh-or-salt.md,36.4,todo
