file,size_kb,status
00-dedication.md,1.4,todo
01-birth-of-mangogul.md,4.6,todo
02-education-of-mangogul.md,3.5,todo
03-which-may-be-regarded-as-the-first-of-this-history.md,4.3,todo
04-evocation-of-the-genius.md,3.3,todo
05-mangogul-s-dangerous-temptation.md,6.0,todo
06-alcina.md,8.2,todo
07-the-altars.md,5.5,todo
08-the-private-supper.md,6.4,todo
09-the-state-of-the-academy-of-sciences-at-banza.md,6.9,todo
10-less-learned-and-less-tedious-than-the-preceding-continuation-of-the-academical.md,3.4,todo
11-the-echo.md,5.7,todo
12-play.md,8.4,todo
13-sixth-trial-of-the-ring.md,5.3,todo
14-orcotomus-s-experiments.md,7.2,todo
15-the-bramins.md,7.4,todo
16-the-muzzles.md,4.0,todo
17-the-two-devouts.md,8.6,todo
18-the-toyman-s-return.md,3.0,todo
19-the-stifled-toy.md,3.8,todo
20-the-vapors.md,3.8,todo
21-to-serve-as-a-supplement-to-the-learned-treatise-of-pancirollus-and-to-the-memoi.md,10.1,todo
22-a-sketch-of-mangogul-s-moral-philosophy.md,7.4,todo
23-the-dogs.md,12.6,todo
24-the-pensions.md,9.4,todo
25-a-law-case.md,13.1,todo
26-the-souls.md,16.1,todo
27-sequel-of-the-preceding-conversation.md,4.6,todo
28-the-little-mare.md,4.3,todo
29-mangogul-s-dream-or-a-voyage-into-the-region-of-hypotheses.md,8.0,todo
30-the-mute-toy.md,8.9,todo
31-was-mangogul-in-the-right.md,7.8,todo
32-alphana.md,6.7,todo
33-the-petits-ma-tres.md,12.8,todo
34-the-comedy.md,6.8,todo
35-conversation-on-literature.md,20.7,todo
36-the-flatted-sphero-d-and-girgiro-the-entangled-catch-who-can.md,2.8,todo
37-mirzoza-s-dream.md,9.9,todo
38-fricamona-and-callipiga.md,6.6,todo
39-dreams.md,9.4,todo
40-fannia.md,19.7,todo
41-the-history-of-selim-s-travels.md,26.8,todo
42-masquerade-and-sequel-of-the-masquerade.md,7.9,todo
43-selim-at-banza.md,9.9,todo
44-the-rambling-toy.md,10.6,todo
45-cydalisa.md,19.1,todo
46-fulvia.md,10.9,todo
47-prodigious-events-of-the-reign-of-kanaglou-mangogul-s-grandfather.md,13.1,todo
48-olympia.md,10.0,todo
49-zuleiman-and-zaide.md,5.6,todo
50-platonic-love.md,14.4,todo
51-mirzoza.md,5.1,todo
52-endnotes.md,0.2,todo
