file,size_kb,status
00-preface-to-the-first-edition.md,0.3,todo
01-soldiers.md,0.0,todo
02-a-horseman-in-the-sky.md,13.5,todo
03-an-occurrence-at-owl-creek-bridge.md,20.9,todo
04-chickamauga.md,14.1,todo
05-a-son-of-the-gods.md,14.7,todo
06-one-of-the-missing.md,25.7,todo
07-killed-at-resaca.md,13.3,todo
08-the-affair-at-coulters-notch.md,18.7,todo
09-the-coup-de-grace.md,12.0,todo
10-parker-adderson-philosopher.md,13.7,todo
11-an-affair-of-outposts.md,20.4,todo
12-the-story-of-a-conscience.md,14.0,todo
13-one-kind-of-officer.md,20.0,todo
14-one-officer-one-man.md,13.0,todo
15-george-thurston.md,10.3,todo
16-the-mockingbird.md,13.2,todo
17-civilians.md,0.0,todo
18-the-man-out-of-the-nose.md,16.0,todo
19-an-adventure-at-brownville.md,21.2,todo
20-the-famous-gilson-bequest.md,16.8,todo
21-the-applicant.md,10.5,todo
22-a-watcher-by-the-dead.md,22.9,todo
23-the-man-and-the-snake.md,14.3,todo
24-a-holy-terror.md,30.2,todo
25-the-suitable-surroundings.md,15.1,todo
26-the-boarded-window.md,10.0,todo
27-a-lady-from-redhorse.md,12.8,todo
28-the-eyes-of-the-panther.md,20.4,todo
