file,size_kb,status
01-the-dying-man.md,26.6,todo
02-the-house-next-door.md,12.6,todo
03-sir-clinton-at-ivy-lodge.md,28.8,todo
04-the-crime-at-heatherfield.md,21.8,todo
05-the-bungalow-tragedy.md,33.9,todo
06-the-nine-possible-solutions.md,23.3,todo
07-the-fly-in-the-amber.md,32.5,todo
08-the-hassendean-journal.md,18.3,todo
09-the-creditor.md,10.9,todo
10-information-received.md,26.6,todo
11-the-code-advertisement.md,18.0,todo
12-the-silverdale-wills.md,27.3,todo
13-the-murder-of-the-informer.md,21.4,todo
14-the-jacket.md,16.1,todo
15-sir-clinton-s-double.md,21.6,todo
16-written-evidence.md,21.9,todo
17-mr-justice.md,18.5,todo
18-the-connecting-thread.md,17.9,todo
19-excerpts-from-sir-clinton-s-notebook.md,22.7,todo
