file,size_kb,status
01-billy-byrne.md,15.9,todo
02-shanghaied.md,15.5,todo
03-the-conspiracy.md,15.1,todo
04-piracy.md,23.5,todo
05-larry-divine-unmasked.md,16.5,todo
06-the-mucker-at-bay.md,16.9,todo
07-the-typhoon.md,18.6,todo
08-the-wreck-of-the-halfmoon.md,17.8,todo
09-oda-yorimoto.md,19.4,todo
10-barbara-captured-by-headhunters.md,29.8,todo
11-the-village-of-yoka.md,18.3,todo
12-the-fight-in-the-palace.md,19.0,todo
13-a-gentleman-of-france.md,19.9,todo
14-the-mucker-sees-a-new-light.md,17.8,todo
15-the-rescue.md,18.0,todo
16-the-supreme-sacrifice.md,13.8,todo
17-home-again.md,15.3,todo
18-the-gulf-between.md,22.6,todo
19-the-murder-trial.md,17.1,todo
20-the-escape.md,18.8,todo
21-five-hundred-dollars-reward.md,17.2,todo
22-on-the-trail.md,15.9,todo
23-one-turn-deserves-another.md,19.6,todo
24-baby-bandits.md,20.7,todo
25-in-pesita-s-camp.md,18.0,todo
26-billy-s-first-command.md,16.4,todo
27-barbara-in-mexico.md,17.6,todo
28-billy-cracks-a-safe.md,26.5,todo
29-barbara-releases-a-conspirator.md,19.6,todo
30-billy-to-the-rescue.md,20.9,todo
31-barbara-again.md,19.0,todo
32-twixt-love-and-duty.md,20.1,todo
33-an-indian-s-treachery.md,20.4,todo
34-eddie-makes-good.md,21.3,todo
35-you-are-my-girl.md,36.0,todo
