file,size_kb,status
a-home-for-mother.md,3.5,todo
a-rejected-suitor.md,16.1,todo
a-revelation.md,19.2,todo
after-the-battle.md,6.0,todo
an-old-friend.md,11.9,todo
arrival-of-the-union-army.md,6.8,todo
conclusion.md,9.7,todo
contraband-of-war.md,13.5,todo
dawning-affections.md,7.3,todo
dedication.md,0.1,todo
delightful-reunions.md,9.5,todo
diverging-paths.md,9.8,todo
dr-latrobe-s-mistake.md,5.2,todo
eugene-leroy-and-alfred-lorraine.md,18.0,todo
flames-in-the-schoolroom.md,6.0,todo
friends-in-council.md,22.7,todo
further-lifting-of-the-veil.md,10.2,todo
harry-leroy.md,12.6,todo
introduction.md,4.6,todo
mystery-of-market-speech-and-prayer-meeting.md,11.6,todo
northern-experience.md,12.0,todo
note.md,1.4,todo
open-questions.md,13.5,todo
robert-and-his-company.md,14.4,todo
robert-johnson-s-promotion-and-religion.md,10.6,todo
schoolgirl-notions.md,17.7,todo
searching-for-lost-ones.md,25.0,todo
shadows-in-the-home.md,19.7,todo
striking-contrasts.md,16.1,todo
the-mystified-doctor.md,7.5,todo
the-plague-and-the-law.md,16.6,todo
the-release-of-iola-leroy.md,8.1,todo
tom-anderson-s-death.md,8.7,todo
uncle-daniel-s-story.md,12.9,todo
visitors-from-the-south.md,6.6,todo
wooing-and-wedding.md,11.6,todo
