file,size_kb,status
01-temptation.md,25.0,todo
02-harrington-hall.md,22.2,todo
03-gerard-maule.md,9.5,todo
04-tankerville.md,13.4,todo
05-mr-daubeny-s-great-move.md,25.1,todo
06-phineas-and-his-old-friends.md,18.6,todo
07-coming-home-from-hunting.md,14.4,todo
08-the-address.md,14.9,todo
09-the-debate.md,10.1,todo
10-the-deserted-husband.md,22.9,todo
11-the-truant-wife.md,13.9,todo
12-k-nigstein.md,22.8,todo
13-i-have-got-the-seat.md,17.9,todo
14-trumpeton-wood.md,15.8,todo
15-how-well-you-knew.md,10.1,todo
16-copperhouse-cross-and-broughton-spinnies.md,27.0,todo
17-madame-goesler-s-story.md,11.4,todo
18-spooner-of-spoon-hall.md,16.8,todo
19-something-out-of-the-way.md,18.3,todo
20-phineas-again-in-london.md,22.7,todo
21-mr-maule-senior.md,23.0,todo
22-purity-of-morals-finn.md,18.4,todo
23-macpherson-s-hotel.md,17.8,todo
24-madame-goesler-is-sent-for.md,11.4,todo
25-i-would-do-it-now.md,17.6,todo
26-the-duke-s-will.md,11.7,todo
27-an-editor-s-wrath.md,17.3,todo
28-the-first-thunderbolt.md,24.4,todo
29-the-spooner-correspondence.md,18.3,todo
30-regrets.md,17.6,todo
31-the-duke-and-duchess-in-town.md,11.2,todo
32-the-world-becomes-cold.md,23.3,todo
33-the-two-gladiators.md,26.0,todo
34-the-universe.md,18.9,todo
35-political-venom.md,14.0,todo
36-seventy-two.md,14.0,todo
37-the-conspiracy.md,23.9,todo
38-once-again-in-portman-square.md,14.0,todo
39-cagliostro.md,15.2,todo
40-the-prime-minister-is-hard-pressed.md,19.2,todo
41-i-hope-i-m-not-distrusted.md,14.3,todo
42-boulogne.md,20.5,todo
43-the-second-thunderbolt.md,14.0,todo
44-the-browborough-trial.md,22.4,todo
45-some-passages-in-the-life-of-mr-emilius.md,18.2,todo
46-the-quarrel.md,20.1,todo
47-what-came-of-the-quarrel.md,17.0,todo
48-mr-maule-s-attempt.md,16.4,todo
49-showing-what-mrs-bunce-said-to-the-policeman.md,18.2,todo
50-what-the-lords-and-commons-said-about-the-murder.md,12.0,todo
51-you-think-it-shameful.md,17.2,todo
52-mr-kennedy-s-will.md,22.5,todo
53-none-but-the-brave-deserve-the-fair.md,23.2,todo
54-the-duchess-takes-counsel.md,17.4,todo
55-phineas-in-prison.md,19.0,todo
56-the-meager-family.md,10.2,todo
57-the-beginning-of-the-search-for-the-key-and-the-coat.md,14.6,todo
58-the-two-dukes.md,15.7,todo
59-mrs-bonteen.md,17.4,todo
60-two-days-before-the-trial.md,24.2,todo
61-the-beginning-of-the-trial.md,20.5,todo
62-lord-fawn-s-evidence.md,17.8,todo
63-mr-chaffanbrass-for-the-defence.md,18.1,todo
64-confusion-in-the-court.md,15.5,todo
65-i-hate-her.md,11.1,todo
66-the-foreign-bludgeon.md,12.0,todo
67-the-verdict.md,30.5,todo
68-phineas-after-the-trial.md,17.2,todo
69-the-duke-s-first-cousin.md,22.0,todo
70-i-will-not-go-to-loughlinter.md,24.1,todo
71-phineas-finn-is-reelected.md,13.7,todo
72-the-end-of-the-story-of-mr-emilius-and-lady-eustace.md,11.3,todo
73-phineas-finn-returns-to-his-duties.md,14.7,todo
74-at-matching.md,20.2,todo
75-the-trumpeton-feud-is-settled.md,12.2,todo
76-madame-goesler-s-legacy.md,23.1,todo
77-phineas-finn-s-success.md,23.4,todo
78-the-last-visit-to-saulsby.md,19.3,todo
79-at-last-at-last.md,13.6,todo
80-conclusion.md,6.5,todo
