file,size_kb,status
a-deal-in-jewellery.md,21.0,todo
a-deal-in-stocks.md,22.4,todo
a-hot-scent.md,23.7,todo
concerning-a-wedding.md,19.9,todo
conclusion.md,16.3,todo
french-propounds-a-riddle.md,24.9,todo
french-takes-a-journey.md,21.5,todo
gathering-the-threads.md,25.2,todo
missing.md,24.8,todo
mrs-french-takes-a-notion.md,21.3,todo
mrs-root-of-pittsburg.md,24.4,todo
murder.md,23.2,todo
some-pairs-of-blankets.md,21.9,todo
sylvia-and-harrington.md,19.3,todo
the-elusive-mrs-x.md,24.9,todo
the-firm-of-duke-and-peabody.md,18.3,todo
the-hotel-in-barcelona.md,27.9,todo
the-house-in-st-john-s-wood.md,25.8,todo
the-s-s-enoch.md,23.9,todo
tragedy.md,17.7,todo
