file,size_kb,status
a-bluff-friend.md,6.6,done
a-bonfire-and-a-feast.md,9.9,done
a-country-christmas-in-a-city-flat.md,5.3,done
a-country-sunday.md,5.6,done
a-march-evening-in-eden.md,8.4,done
a-momentous-expedition.md,4.9,done
a-problem.md,10.1,done
a-thunderbolt.md,5.4,done
a-trip-to-the-seashore.md,9.4,done
a-visit-to-houghton-farm.md,8.3,done
a-voyage-up-the-hudson.md,8.5,done
august-work-and-play.md,8.2,done
autumn-work-and-sport.md,22.2,done
breaking-camp.md,4.5,done
butternuts-and-bobsey-s-peril.md,8.3,done
cherries-berries-and-berry-thieves.md,8.6,done
corn-color-and-music.md,6.1,done
dedication.md,0.1,done
early-april-gardening.md,10.9,done
given-a-chance.md,12.2,done
given-his-choice.md,8.8,done
good-bargains-in-maple-sugar.md,5.0,done
hoarding-for-winter.md,9.0,done
i-state-the-case.md,7.2,done
john-jones-jun.md,7.7,done
list-of-illustrations.md,0.0,done
making-a-place-for-chickens.md,5.8,done
mr-jones-shows-me-the-place.md,7.8,done
nature-smiles-and-helps.md,7.7,done
new-prospects.md,3.8,done
no-blind-drifting.md,4.3,done
our-sunny-kitchen.md,8.0,done
owls-and-antwerps.md,5.5,done
preface.md,0.9,done
rallying-from-the-blow.md,14.5,done
raspberry-lessons.md,8.9,done
rescued-and-at-home.md,10.4,done
scenes-on-the-wharf.md,7.0,done
self-denial-and-its-reward.md,10.9,done
strawberry-visions-and-pertaters.md,7.4,done
telling-about-eden.md,3.8,done
thanksgiving-day.md,4.3,done
the-vandoo.md,8.2,done
we-can-make-a-living-in-eden.md,4.3,done
we-go-a-fishing.md,5.9,done
we-shall-all-earn-our-salt.md,9.7,done
weeds-and-working-for-dear-life.md,11.3,done
