file,size_kb,status
a-dress-rehearsal.md,8.6,done
a-sprain-and-a-vacant-place.md,10.7,done
being-a-chapter-of-accidents.md,10.5,done
conclusion.md,8.1,done
mainly-about-ferrets.md,9.7,done
mill-receives-visitors.md,8.5,done
news-of-the-gold-bat.md,10.3,done
o-hara-excels-himself.md,8.0,done
o-hara-on-the-track.md,11.6,done
the-fifteenth-place.md,12.4,done
the-finding-of-the-bat.md,10.5,done
the-gold-bat.md,10.7,done
the-house-matches.md,9.7,done
the-league-revealed.md,10.0,done
the-league-s-warning.md,10.7,done
the-mayor-s-statue.md,10.1,done
the-mayor-s-visit.md,9.3,done
the-ripton-match.md,10.2,done
the-watchers-in-the-vault.md,12.9,done
the-white-figure.md,10.0,done
trevor-remains-firm.md,7.8,done
victim-number-three.md,10.3,done
what-renford-saw.md,9.9,done
with-the-compliments-of-the-league.md,10.3,done
