file,size_kb,status
01-the-man-in-the-laboratory.md,15.2,done
02-the-girl-who-cried.md,11.4,done
03-four-important-characters.md,16.6,done
04-the-accountant-at-the-bank.md,12.1,done
05-john-minute-s-legacy.md,22.6,done
06-the-man-who-knew.md,8.9,done
07-introducing-mr-rex-holland.md,23.1,done
08-sergeant-smith-calls.md,17.7,done
09-frank-merrill-at-the-altar.md,17.3,done
10-a-murder.md,23.8,done
11-the-case-against-frank-merrill.md,16.9,done
12-the-trial-of-frank-merrill.md,19.6,done
13-the-man-who-came-to-montreux.md,15.2,done
14-the-man-who-looked-like-frank.md,15.8,done
15-a-letter-in-the-grate.md,7.8,done
16-the-coming-of-sergeant-smith.md,24.2,done
17-the-man-called-merrill.md,23.7,done
