file,size_kb,status
father-joseph-explains-how-the-laity-have-no-need-of-the-pen.md,13.3,done
gonsalvo-sings-what-had-been-the-latest-air-from-provence.md,11.1,done
mirandola-demands-a-love-potion.md,9.3,done
ramon-alonzo-comes-to-the-house-in-the-wood.md,15.9,done
ramon-alonzo-compounds-the-potion.md,9.8,done
ramon-alonzo-crosses-a-sword-with-magic.md,9.1,done
ramon-alonzo-dances-with-his-shadow.md,15.0,done
ramon-alonzo-follows-the-art.md,10.1,done
ramon-alonzo-learns-a-mystery-known-to-the-reader.md,13.6,done
ramon-alonzo-learns-of-the-box.md,14.1,done
ramon-alonzo-shares-the-idleness-of-the-maidens-of-aragona.md,9.1,done
ramon-alonzo-talks-of-technique-and-muddles-his-father.md,12.4,done
the-casket-of-silver-and-oak-is-given-to-se-or-gulvarez.md,20.7,done
the-charwoman-tells-of-her-loss.md,10.4,done
the-chill-of-space.md,12.8,done
the-end-of-the-golden-age.md,17.0,done
the-exposure-of-the-false-shadows.md,9.4,done
the-folk-of-aragona-strike-for-the-faith.md,17.6,done
the-lord-of-the-tower-finds-a-career-for-his-son.md,17.3,done
the-love-potion.md,12.8,done
the-magician-imitates-a-way-of-the-gods.md,9.7,done
the-plan-of-ramon-alonzo.md,16.0,done
the-release-of-the-shadow.md,11.5,done
the-technique-of-alchemy.md,11.2,done
the-three-fair-fields.md,15.4,done
the-wonderful-casting.md,8.5,done
the-work-of-father-joseph.md,9.0,done
there-is-talk-of-gulvarez.md,12.4,done
they-dread-that-a-witch-has-ridden-from-the-country-towards-moon-s-rising.md,18.9,done
white-magic-comes-to-the-wood.md,9.2,done
