file,size_kb,status
book-1.md,0.0,done
epigraph-1.md,1.1,done
1-1-probing-the-trivial.md,12.5,done
1-2-the-city-of-baal.md,16.1,done
1-3-via-dolorosa.md,13.6,done
1-4-on-the-wharf-of-enchantment.md,17.8,done
1-5-the-cellar-of-the-soul.md,19.6,done
1-6-the-summer-afternoon-of-a-sham.md,17.7,done
1-7-in-the-twilight-of-an-idea.md,20.4,done
1-8-with-the-houris.md,15.9,done
book-2.md,0.0,done
epigraph-2.md,1.9,done
2-1-the-dowry-of-democracy.md,24.8,done
2-2-subtranscendental.md,15.2,done
2-3-the-false-dawn.md,8.8,done
2-4-the-last-star.md,19.1,done
2-5-priesto-parental.md,15.7,done
2-6-flounces-and-ruffles.md,18.7,done
2-7-the-howdaj-of-falsehood.md,19.5,done
2-8-the-kaaba-of-solitude.md,15.9,done
2-9-signs-of-the-hermit.md,13.5,done
2-10-the-vineyard-in-the-kaaba.md,17.4,done
book-3.md,0.0,done
epigraph-3.md,1.2,done
3-1-the-disentanglement-of-the-me.md,18.0,done
3-2-the-voice-of-the-dawn.md,10.4,done
3-3-the-self-ecstatic.md,14.3,done
3-4-on-the-open-highway.md,37.5,done
3-5-union-and-progress.md,18.6,done
3-6-revolutions-within-and-without.md,16.0,done
3-7-a-dream-of-empire.md,18.2,done
3-8-adumbrations.md,19.8,done
3-9-the-stoning-and-flight.md,11.5,done
3-10-the-desert.md,10.9,done
epilogue.md,12.0,done
prologue.md,5.8,done
