file,size_kb,status
a-hurried-trip-around-the-world.md,20.2,todo
a-strange-environment.md,44.3,todo
a-trip-to-rome.md,33.2,todo
an-historic-trip.md,48.1,todo
busy-years.md,19.9,todo
cincinnati-and-washington.md,32.5,todo
conclusion.md,25.2,todo
days-of-the-empire.md,25.6,todo
first-impressions-of-manila.md,50.3,todo
foreword.md,0.2,todo
governor-taft.md,50.1,todo
in-japan.md,47.6,todo
introduction.md,35.9,todo
last-days-in-the-philippines.md,43.3,todo
list-of-illustrations.md,3.9,todo
president-of-the-united-states.md,42.8,todo
secretary-of-war.md,52.4,todo
some-white-house-formalities.md,32.0,todo
the-white-house.md,32.2,todo
the-wild-men-s-country.md,45.4,todo
to-the-philippines.md,47.8,todo
