file,size_kb,status
a-friend-in-need.md,9.5,done
a-gathering-of-cat-specialists.md,14.7,done
a-red-taximeter.md,6.7,done
an-addition-to-the-staff.md,7.9,done
an-episode-by-the-way.md,8.6,done
at-the-gardenia.md,10.2,done
bat-jarvis.md,10.4,done
billy-windsor.md,6.6,done
concerning-mr-waring.md,8.9,done
conclusion.md,4.2,done
cornered.md,15.1,done
cosy-moments.md,8.3,done
full-steam-ahead.md,7.8,done
going-some.md,18.2,done
guerilla-warfare.md,9.8,done
in-pleasant-street.md,8.4,done
planning-improvements.md,8.5,done
preface.md,1.2,done
psmith-concludes-his-ride.md,9.3,done
reductions-in-the-staff.md,14.6,done
reviewing-the-situation.md,10.0,done
standing-room-only.md,14.0,done
the-battle-of-pleasant-street.md,13.5,done
the-first-battle.md,16.5,done
the-highfield.md,14.5,done
the-honeyed-word.md,10.8,done
the-knockout-for-mr-waring.md,12.7,done
the-man-at-the-astor.md,12.4,done
the-tenements.md,7.7,done
trapped.md,16.4,done
visitors-at-the-office.md,5.1,done
