file,size_kb,status
a-journey-southward.md,24.6,todo
a-midnight-walk.md,5.0,todo
a-shocking-crime.md,8.1,todo
a-white-man-s-nigger.md,13.9,todo
another-southern-product.md,10.2,todo
at-break-of-day.md,17.2,todo
belleview.md,8.9,todo
delamere-plays-a-trump.md,16.3,todo
ellis-takes-a-trick.md,21.0,todo
epigraph.md,0.2,todo
fiat-justitia.md,18.5,todo
how-not-to-prevent-a-lynching.md,13.6,todo
in-season-and-out.md,18.3,todo
into-the-lion-s-jaws.md,11.3,todo
janet.md,6.5,todo
mine-enemy-o-mine-enemy.md,20.0,todo
mrs-carteret-seeks-an-explanation.md,11.0,todo
muttering-of-the-storm.md,9.3,todo
sandy-sees-his-own-ha-nt.md,6.9,todo
the-baby-and-the-bird.md,7.9,todo
the-cakewalk.md,11.6,todo
the-campaign-drags.md,7.4,todo
the-christening-party.md,24.8,todo
the-discomfort-of-ellis.md,9.0,todo
the-editor-at-work.md,19.1,todo
the-honor-of-a-family.md,9.3,todo
the-maunderings-of-old-mrs-ochiltree.md,13.7,todo
the-missing-papers.md,21.8,todo
the-necessity-of-an-example.md,9.6,todo
the-operation.md,17.5,todo
the-shadow-of-a-dream.md,9.8,todo
the-sisters.md,10.6,todo
the-social-aspirations-of-captain-mcbane.md,19.1,todo
the-storm-breaks.md,16.8,todo
the-vagaries-of-the-higher-law.md,22.2,todo
the-valley-of-the-shadow.md,6.9,todo
theodore-felix.md,13.0,todo
two-southern-gentlemen.md,12.4,todo
