file,size_kb,status
00-preface.md,2.0,todo
01-rambles-in-modern-troy.md,21.7,todo
02-peasant-homes-and-hearts.md,19.4,todo
03-materials-for-a-pastoral.md,12.0,todo
04-vagabonds-rest.md,18.2,todo
05-a-colony-of-english-gentlemen.md,14.8,todo
06-the-colony-under-a-cloud.md,11.1,todo
07-love-of-the-beautiful.md,9.8,todo
08-manuel-also-called-the-fox.md,14.9,todo
09-the-botanist-and-the-simple-native.md,6.3,todo
10-matters-relating-to-the-republic.md,21.2,todo
11-the-woman-and-the-serpent.md,13.7,todo
12-children-in-the-forest.md,13.8,todo
13-barking-dogs-and-shouting-rebels.md,10.8,todo
14-maids-of-fancy-maids-of-y.md,21.9,todo
15-when-the-trumpet-calls-to-battle.md,15.9,todo
16-romance-of-the-white-flower.md,27.8,todo
17-passion-versus-patriotism.md,29.4,todo
18-rest-on-thy-rock-andromeda.md,22.0,todo
19-tales-of-the-purple-land.md,32.4,todo
20-a-ghastly-gift.md,14.5,todo
21-liberty-and-dirt.md,19.1,todo
22-a-crown-of-nettles.md,16.1,todo
23-the-red-flag-of-victory.md,17.5,todo
24-mystery-of-the-green-butterfly.md,13.1,todo
25-deliver-me-from-mine-enemy.md,16.4,todo
26-lock-and-key-and-sinners-three.md,20.6,todo
27-night-and-flight.md,15.0,todo
28-goodbye-to-the-purple-land.md,24.3,todo
29-back-to-buenos-aires.md,18.9,todo
30-appendix-history-of-the-banda-oriental.md,4.2,todo
