file,size_kb,status
a-double-exile.md,11.5,todo
a-face-in-the-crowd.md,17.0,todo
a-scene-of-light-and-glory.md,7.3,todo
afterthoughts.md,42.4,todo
and-every-gentle-passion-sick-to-death.md,42.1,todo
as-a-spirit-from-dream-to-dream.md,20.5,todo
as-things-that-are-not-shall-these-things-be.md,23.4,todo
both-together-he-her-god-she-his-idol.md,32.4,todo
closer-and-closer-swam-the-thundercloud.md,36.4,todo
fairies.md,50.0,todo
from-the-evil-to-come.md,18.6,todo
he-said-she-has-a-lovely-face.md,41.1,todo
he-would-take-his-time.md,20.0,todo
in-the-blue-chamber.md,20.4,todo
in-the-city-by-the-sea.md,35.5,todo
love-should-be-absolute-love.md,35.5,todo
oh-tell-her-brief-is-life-but-love-is-long.md,20.4,todo
one-born-to-love-you-sweet.md,12.4,todo
one-thread-in-life-worth-spinning.md,41.6,todo
peggy-s-chance.md,43.6,todo
poor-kind-wild-eyes-so-dashed-with-light-quick-tears.md,29.6,todo
she-was-more-fair-than-words-can-say.md,28.1,todo
so-very-wilful.md,23.0,todo
teatime-in-arcadia.md,28.7,todo
the-little-rift.md,35.3,todo
the-prelude-to-some-brighter-world.md,17.2,todo
the-shadow-passeth-when-the-tree-shall-fall.md,18.1,todo
the-time-of-lovers-is-brief.md,16.2,todo
thou-mayst-be-false-and-yet-i-know-it-not.md,13.3,todo
though-love-and-life-and-death-should-come-and-go.md,19.7,todo
tis-not-the-same-now-never-more-can-be.md,24.6,todo
to-live-forgotten-and-love-forlorn.md,37.3,todo
why-should-he-refrain.md,46.2,todo
