file,size_kb,status
a-bibliographical-note.md,7.4,todo
a-false-start-in-the-genteel-world.md,29.8,todo
barry-far-from-military-glory.md,32.1,todo
barry-leads-a-garrison-life-and-finds-many-friends-there.md,24.3,todo
barry-s-adieu-to-military-profession.md,15.8,todo
conclusion.md,69.4,todo
endnotes.md,4.4,todo
i-appear-as-an-ornament-of-english-society.md,43.1,todo
i-appear-in-a-manner-becoming-my-name-and-lineage.md,26.4,todo
i-continue-my-career-as-a-man-of-fashion.md,35.3,todo
i-pay-court-to-my-lady-lyndon.md,29.9,todo
i-provide-nobly-for-my-family.md,34.7,todo
i-return-to-ireland-and-exhibit-my-splendour-and-generosity-in-that-kingdom.md,25.6,todo
i-show-myself-to-be-a-man-of-spirit.md,33.9,todo
in-which-barry-takes-a-near-view-of-military-glory.md,21.3,todo
in-which-the-luck-goes-against-barry.md,18.7,todo
more-runs-of-luck.md,37.3,todo
my-good-fortune-begins-to-waver.md,53.4,todo
my-pedigree-and-family-undergo-the-influence-of-the-tender-passion.md,59.6,todo
the-crimp-wagon-military-episodes.md,38.8,todo
tragical-history-of-princess-of-x.md,44.4,todo
