file,size_kb,status
00-preface.md,7.3,todo
01-part-i-the-present-condition-of-russia.md,0.1,todo
02-what-is-hoped-from-bolshevism.md,11.1,todo
03-general-characteristics.md,14.2,todo
04-lenin-trotsky-and-gorky.md,10.3,todo
05-art-and-education.md,35.3,todo
06-communism-and-the-soviet-constitution.md,9.6,todo
07-the-failure-of-russian-industry.md,15.0,todo
08-daily-life-in-moscow.md,7.6,todo
09-town-and-country.md,8.8,todo
10-international-policy.md,14.2,todo
11-part-ii-bolshevik-theory.md,0.0,todo
12-the-materialistic-theory-of-history.md,10.8,todo
13-deciding-forces-in-politics.md,6.9,todo
14-bolshevik-criticism-of-democracy.md,13.9,todo
15-revolution-and-dictatorship.md,12.7,todo
16-mechanism-and-the-individual.md,9.1,todo
17-why-russian-communism-has-failed.md,16.3,todo
18-conditions-for-the-success-of-communism.md,13.1,todo
19-endnotes.md,4.0,todo
