file,size_kb,status
00-preface.md,8.0,todo
01-the-encountering-of-six-within-a-wood.md,15.2,todo
02-the-inexorable-justice-of-the-mandarin-shan-tien.md,45.2,todo
03-the-degraded-persistence-of-the-effete-ming-shu.md,53.6,todo
04-the-inopportune-behaviour-of-the-covetous-li-loe.md,16.1,todo
05-the-timely-intervention-of-the-mandarin-shan-tien-s-lucky-day.md,36.4,todo
06-the-high-minded-strategy-of-the-amiable-hwa-mei.md,33.4,todo
07-not-concerned-with-any-particular-attribute-of-those-who-are-involved.md,37.6,todo
08-the-timely-disputation-among-those-of-an-inner-chamber-of-yu-ping.md,54.0,todo
09-the-propitious-dissension-between-two-whose-general-attributes-have-already-been.md,52.7,todo
10-the-incredible-obtuseness-of-those-who-had-opposed-the-virtuous-kai-lung.md,58.2,todo
11-of-which-it-is-written-in-shallow-water-dragons-become-the-laughingstock-of-shrimps.md,10.8,todo
12-the-out-passing-into-a-state-of-assured-felicity-of-the-much-enduring-two-with-w.md,59.2,todo
