file,size_kb,status
01-dedication.md,0.2,todo
02-acknowledgment-to-nancy-virginia-austen.md,0.3,todo
03-introduction.md,4.4,todo
04-winters-in-echigo.md,16.2,todo
05-curly-hair.md,10.3,todo
06-days-of-kan.md,13.4,todo
07-the-old-and-the-new.md,14.0,todo
08-falling-leaves.md,15.6,todo
09-a-sunny-new-year.md,15.3,todo
10-the-wedding-that-never-was.md,13.5,todo
11-two-ventures.md,19.2,todo
12-the-story-of-a-marionette.md,23.7,todo
13-the-day-of-the-bird.md,18.4,todo
14-my-first-journey.md,14.3,todo
15-travel-education.md,18.3,todo
16-foreigners.md,15.4,todo
17-lessons.md,17.1,todo
18-how-i-became-a-christian.md,17.9,todo
19-sailing-unknown-seas.md,21.5,todo
20-first-impressions.md,25.1,todo
21-strange-customs.md,21.5,todo
22-thinking.md,15.0,todo
23-neighbours.md,16.5,todo
24-new-experiences.md,24.9,todo
25-flower-in-a-strange-land.md,14.9,todo
26-chiyo.md,19.8,todo
27-in-japan-again.md,6.3,todo
28-our-tokyo-home.md,14.1,todo
29-tragic-trifles.md,13.0,todo
30-honourable-grandmother.md,17.6,todo
31-sister-s-visit.md,11.9,todo
32-a-lady-of-old-japan.md,15.1,todo
33-the-white-cow.md,19.8,todo
34-worthless-treasures.md,17.4,todo
35-the-black-ships.md,5.2,todo
