file,size_kb,status
a-compatriot.md,19.0,todo
a-goodly-life.md,63.5,todo
a-night-conversation.md,58.0,todo
aglaia.md,22.9,todo
an-evening-in-spring.md,28.4,todo
an-unknown-friend.md,14.9,todo
brethren.md,66.9,todo
death.md,18.9,todo
elijah-the-prophet.md,8.7,todo
endnotes.md,1.4,todo
figures.md,16.2,todo
foreword.md,0.9,todo
gautami.md,6.9,todo
gentle-breathing.md,12.9,todo
i-say-nothing.md,32.3,todo
kasimir-stanislavovitch.md,19.2,todo
son.md,27.0,todo
the-dreams-of-chang.md,40.5,todo
the-gentleman-from-san-francisco.md,51.5,todo
the-grammar-of-love.md,22.9,todo
