file,size_kb,status
chapter-1-the-house-in-the-hollow.md,13.7,todo
chapter-2-a-watch-in-the-night.md,20.5,todo
chapter-3-a-hop-out-of-kin.md,24.2,todo
chapter-4-a-family-conclave.md,18.5,todo
chapter-5-diamond-cut-diamond.md,14.2,todo
chapter-6-new-moon.md,19.6,todo
chapter-7-the-book-of-yesterday.md,28.4,todo
chapter-8-trial-by-fire.md,21.2,todo
chapter-9-a-special-providence.md,25.4,todo
chapter-10-growing-pains.md,14.5,todo
chapter-11-ilse.md,15.5,todo
chapter-12-the-tansy-patch.md,27.0,todo
chapter-13-daughter-of-eve.md,17.6,todo
chapter-14-fancy-fed.md,12.4,todo
chapter-15-various-tragedies.md,22.2,todo
chapter-16-check-for-miss-brownell.md,24.8,todo
chapter-17-living-epistles.md,23.9,todo
chapter-18-father-cassidy.md,32.5,todo
chapter-19-friends-again.md,7.4,todo
chapter-20-by-aerial-post.md,20.1,todo
chapter-21-romantic-but-not-comfortable.md,20.2,todo
chapter-22-wyther-grange.md,14.5,todo
chapter-23-deals-with-ghosts.md,18.7,todo
chapter-24-a-different-kind-of-happiness.md,13.0,todo
chapter-25-she-couldn-t-have-done-it.md,11.3,todo
chapter-26-on-the-bay-shore.md,21.2,todo
chapter-27-the-vow-of-emily.md,35.3,todo
chapter-28-a-weaver-of-dreams.md,23.8,todo
chapter-29-sacrilege.md,20.1,todo
chapter-30-when-the-curtain-lifted.md,24.8,todo
chapter-31-emily-s-great-moment.md,19.6,todo
