file,size_kb,status
00-part-i.md,0.0,todo
01-the-letter.md,3.4,todo
02-events-of-a-night.md,19.2,todo
03-the-figure-beneath-the-trees.md,18.7,todo
04-moreland-villa.md,25.9,todo
05-mr-burton-the-detective.md,40.5,todo
06-two-links-in-the-chain.md,24.7,todo
07-eleanor.md,13.2,todo
08-the-haunted-grave.md,35.1,todo
09-the-spider-and-the-fly.md,30.0,todo
10-the-anniversary.md,38.0,todo
11-the-little-guest-and-the-apparition.md,38.3,todo
12-the-night-in-moreland-villa.md,19.8,todo
13-the-shadow-assumes-shape.md,17.6,todo
14-part-ii.md,0.0,todo
15-the-letter.md,22.6,todo
16-our-visits.md,28.2,todo
17-the-confession.md,26.4,todo
18-embarked-for-california.md,15.0,todo
19-on-the-trail.md,15.0,todo
20-at-last-at-last.md,28.4,todo
21-now-for-home-again.md,7.8,todo
22-the-ripe-hour.md,22.6,todo
23-joining-the-missing-links.md,14.8,todo
24-the-new-life.md,6.9,todo
